cpu,mem
6.098194000000000000e+06,2.132365750000000000e+06
5.965951000000000000e+06,2.061809875000000000e+06
5.896253500000000000e+06,2.096665500000000000e+06
5.893734500000000000e+06,2.093351500000000000e+06
5.935064500000000000e+06,2.085468750000000000e+06
6.000817000000000000e+06,2.049829125000000000e+06
6.062916500000000000e+06,2.004855125000000000e+06
6.118465000000000000e+06,1.972574500000000000e+06
6.173980000000000000e+06,1.972708000000000000e+06
6.223881500000000000e+06,1.994168250000000000e+06
6.254549000000000000e+06,2.009950625000000000e+06
6.258506000000000000e+06,2.006150750000000000e+06
6.230313000000000000e+06,1.989650625000000000e+06
6.173281500000000000e+06,1.985012250000000000e+06
5.909833500000000000e+01,1.927018000000000000e+03
5.877311500000000000e+01,1.960086750000000000e+03
5.837198000000000000e+01,2.005513875000000000e+03
5.807513500000000000e+01,2.035357750000000000e+03
5.806530000000000000e+01,2.035848250000000000e+03
5.831767000000000000e+06,2.120755250000000000e+06
5.825134000000000000e+06,2.126050250000000000e+06
5.823234000000000000e+06,2.143231500000000000e+06
5.826332000000000000e+06,2.152027000000000000e+06
5.872680000000000000e+06,2.143743000000000000e+06
5.951203500000000000e+06,2.105492500000000000e+06
6.033366000000000000e+06,2.056389250000000000e+06
6.109250500000000000e+06,2.020938375000000000e+06
6.181620500000000000e+06,2.015673750000000000e+06
6.245392500000000000e+06,2.028538125000000000e+06
6.294366500000000000e+06,2.033864750000000000e+06
6.328726500000000000e+06,2.021096375000000000e+06
6.343020500000000000e+06,1.998714000000000000e+06
6.333011500000000000e+06,1.989208125000000000e+06
6.300239000000000000e+06,2.011688250000000000e+06
6.248213000000000000e+06,2.057445625000000000e+06
6.193631000000000000e+06,2.098701000000000000e+06
6.156388500000000000e+06,2.116423000000000000e+06
6.142446500000000000e+06,2.114824250000000000e+06
6.142961500000000000e+06,2.110609250000000000e+06
6.148608500000000000e+06,2.120421500000000000e+06
6.148554500000000000e+06,2.140653250000000000e+06
6.141934500000000000e+06,2.148922000000000000e+06
6.153501000000000000e+06,2.130883000000000000e+06
6.207585000000000000e+06,2.092008125000000000e+06
6.279058000000000000e+06,2.040085750000000000e+06
6.355037000000000000e+06,2.004728875000000000e+06
6.431555000000000000e+06,1.997406500000000000e+06
6.498726500000000000e+06,2.003743625000000000e+06
6.552795500000000000e+06,1.999037375000000000e+06
6.596524500000000000e+06,1.976876250000000000e+06
6.624961000000000000e+06,1.947572500000000000e+06
6.632212000000000000e+06,1.933842000000000000e+06
6.612989000000000000e+06,1.952848500000000000e+06
6.562987500000000000e+06,1.991239625000000000e+06
6.494473500000000000e+06,2.020673625000000000e+06
6.429190500000000000e+06,2.027736500000000000e+06
6.371470500000000000e+06,2.018650000000000000e+06
6.314571500000000000e+06,2.013625625000000000e+06
5.909833500000000000e+01,1.927018000000000000e+03
5.877311500000000000e+01,1.960086750000000000e+03
5.837198000000000000e+01,2.005513875000000000e+03
5.807513500000000000e+01,2.035357750000000000e+03
5.806530000000000000e+01,2.035848250000000000e+03
6.274425000000000000e+06,1.982992500000000000e+06
6.320499000000000000e+06,1.954961750000000000e+06
6.369880000000000000e+06,1.952093250000000000e+06
6.415761500000000000e+06,1.955558000000000000e+06
6.455595500000000000e+06,1.943504000000000000e+06
6.486808000000000000e+06,1.912361750000000000e+06
6.499276000000000000e+06,1.875532000000000000e+06
6.489071000000000000e+06,1.858789000000000000e+06
6.454565000000000000e+06,1.876755250000000000e+06
6.395331000000000000e+06,1.913944500000000000e+06
6.326107500000000000e+06,1.943688750000000000e+06
6.263414500000000000e+06,1.953705250000000000e+06
6.202981000000000000e+06,1.950771750000000000e+06
6.134681500000000000e+06,1.955674000000000000e+06
6.061727500000000000e+06,1.984207250000000000e+06
5.998963500000000000e+06,2.026758125000000000e+06
5.966021000000000000e+06,2.056044625000000000e+06
5.972452000000000000e+06,2.054774250000000000e+06
6.004083000000000000e+06,2.026345375000000000e+06
6.041465000000000000e+06,1.990917500000000000e+06
6.082775500000000000e+06,1.972037000000000000e+06
6.133253500000000000e+06,1.974492000000000000e+06
6.191442500000000000e+06,1.978036750000000000e+06
6.254823000000000000e+06,1.962247500000000000e+06
6.315707500000000000e+06,1.926096250000000000e+06
6.360947500000000000e+06,1.886440500000000000e+06
6.385307000000000000e+06,1.868929250000000000e+06
6.386181500000000000e+06,1.885750250000000000e+06
6.361734000000000000e+06,1.919724750000000000e+06
6.324641000000000000e+06,1.944373250000000000e+06
6.288344000000000000e+06,1.949878000000000000e+06
6.248289000000000000e+06,1.945744000000000000e+06
6.196722500000000000e+02,1.953502750000000000e+01
6.144848000000000000e+02,1.989458375000000000e+01
6.099752500000000000e+02,2.036591000000000000e+01
6.064037500000000000e+02,2.064184125000000000e+01
6.064227000000000000e+02,2.065562875000000000e+01
