cpu,mem
3.612973500000000000e+06,2.078675875000000000e+06
5.518510500000000000e+06,2.040652500000000000e+06
5.476836500000000000e+06,2.062884625000000000e+06
5.471815000000000000e+06,2.058145000000000000e+06
5.495017500000000000e+06,2.045311875000000000e+06
5.561861500000000000e+06,2.015614125000000000e+06
5.625923000000000000e+06,1.968599500000000000e+06
5.670458500000000000e+06,1.932773250000000000e+06
5.706248000000000000e+06,1.927339750000000000e+06
5.745284000000000000e+06,1.946131750000000000e+06
5.786415500000000000e+06,1.964296500000000000e+06
5.811865000000000000e+06,1.964744250000000000e+06
5.795225000000000000e+06,1.949860500000000000e+06
5.730564500000000000e+06,1.944148250000000000e+06
5.672790500000000000e+06,1.980558250000000000e+06
5.612786500000000000e+06,2.030298250000000000e+06
5.555580500000000000e+06,2.078242000000000000e+06
5.518864500000000000e+06,2.101874250000000000e+06
5.498522000000000000e+06,2.101653500000000000e+06
5.478420000000000000e+06,2.093211125000000000e+06
5.456101000000000000e+06,2.095959750000000000e+06
5.440062500000000000e+06,2.111305750000000000e+06
3.442132000000000000e+06,2.121385250000000000e+06
5.475041500000000000e+06,2.107839500000000000e+06
5.534090500000000000e+06,2.068652875000000000e+06
5.598360000000000000e+06,2.018310000000000000e+06
5.658134500000000000e+06,1.980294500000000000e+06
5.713092000000000000e+06,1.969125500000000000e+06
5.759403000000000000e+06,1.976430750000000000e+06
5.801713000000000000e+06,1.981089750000000000e+06
5.850369500000000000e+06,1.973331750000000000e+06
5.879683500000000000e+06,1.952572000000000000e+06
5.896900500000000000e+06,1.950027500000000000e+06
5.896734500000000000e+06,1.973776000000000000e+06
5.874145000000000000e+06,2.020481500000000000e+06
5.840087500000000000e+06,2.062808125000000000e+06
5.817107500000000000e+06,2.083382500000000000e+06
5.808529000000000000e+06,2.082509875000000000e+06
5.803699500000000000e+06,2.076666625000000000e+06
5.797835500000000000e+06,2.083225500000000000e+06
5.790361500000000000e+06,2.101543250000000000e+06
5.787903000000000000e+06,2.111240750000000000e+06
5.808212000000000000e+06,2.094732250000000000e+06
5.855269500000000000e+06,2.052172250000000000e+06
5.914933000000000000e+06,1.999249125000000000e+06
5.976016000000000000e+06,1.958657750000000000e+06
6.029854000000000000e+06,1.943164250000000000e+06
6.074739500000000000e+06,1.943763000000000000e+06
6.136008000000000000e+06,1.943772500000000000e+06
